Date,Open,High,Low,Close,Adj Close,Volume
2023-08-24,45.2400016784668,45.720001220703125,44.63999938964844,44.68000030517578,44.68000030517578,18129600
2023-08-25,44.709999084472656,44.84000015258789,43.08000183105469,43.959999084472656,43.959999084472656,19132500
2023-08-28,44.11000061035156,44.52000045776367,43.709999084472656,44.150001525878906,44.150001525878906,10424100
2023-08-29,44.209999084472656,45.584999084472656,44.119998931884766,45.349998474121094,45.349998474121094,11335400
2023-08-30,45.349998474121094,46.75,45.29999923706055,46.5099983215332,46.5099983215332,19869400
2023-08-31,46.689998626708984,47.56999969482422,46.52000045776367,47.22999954223633,47.22999954223633,19263800
2023-09-01,47.5099983215332,47.70000076293945,46.83000183105469,47.040000915527344,47.040000915527344,14607000
2023-09-05,46.869998931884766,47.13999938964844,46.29999923706055,46.54999923706055,46.54999923706055,16461700
2023-09-06,46.34000015258789,46.849998474121094,45.61000061035156,45.900001525878906,45.900001525878906,14262700
2023-09-07,45.5,46.68000030517578,45.25,46.27000045776367,46.27000045776367,14972200
2023-09-08,46.34000015258789,47.25,46.27000045776367,47.2400016784668,47.2400016784668,15956900
2023-09-11,47.7400016784668,48.970001220703125,47.650001525878906,48.939998626708984,48.939998626708984,19007300
2023-09-12,48.34000015258789,49.1879997253418,47.900001525878906,47.91999816894531,47.91999816894531,18809000
2023-09-13,47.5099983215332,48.36000061035156,47.279998779296875,48.15999984741211,48.15999984741211,12691800
2023-09-14,48.630001068115234,48.69499969482422,47.80500030517578,48.31999969482422,48.31999969482422,13068200
2023-09-15,48.189998626708984,48.4900016784668,47.27000045776367,47.52000045776367,47.52000045776367,16125700
2023-09-18,47.29999923706055,47.347999572753906,46.47999954223633,46.5099983215332,46.5099983215332,15025500
2023-09-19,46.400001525878906,47.755001068115234,46.209999084472656,47.59000015258789,47.59000015258789,19180200
2023-09-20,46.8650016784668,47.540000915527344,46.400001525878906,46.54999923706055,46.54999923706055,22582000
2023-09-21,45.790000915527344,45.790000915527344,43.93000030517578,44.599998474121094,44.599998474121094,27865700
2023-09-22,45.15999984741211,45.345001220703125,44.029998779296875,44.40999984741211,44.40999984741211,16158700
2023-09-25,44.13999938964844,45.11000061035156,44.11000061035156,44.90999984741211,44.90999984741211,9175400
2023-09-26,44.5,45.388999938964844,44.04499816894531,44.27000045776367,44.27000045776367,11283600
2023-09-27,44.5099983215332,45.472999572753906,44.439998626708984,45.13999938964844,45.13999938964844,16835100
2023-09-28,44.91999816894531,46.58000183105469,44.91999816894531,46.13999938964844,46.13999938964844,22199200
2023-09-29,46.75,46.91999816894531,45.849998474121094,45.9900016784668,45.9900016784668,14237200
2023-10-02,45.56999969482422,46.290000915527344,45.10200119018555,45.68000030517578,45.68000030517578,14976700
2023-10-03,45.36000061035156,45.60499954223633,44.32500076293945,44.5099983215332,44.5099983215332,11033400
