Stock,RSI Entry,RSI Exit,ROI %
AMD,35,73,1116.33
BRK-B,35,74,353.45
BSX,33,73,405.43
COST,33,75,556.71
CRM,34,75,342.16
CUS,35,66,239.15
DAY,31,65,102.53
DTE,35,75,378.04
ENTG,35,74,823.09
GO,33,68,38.38
GRMN,35,75,580.99
HCA,35,75,421.63
LPSN,35,75,321.45
MTH,35,69,543.16
NBIX,34,75,996.45
NVDA,35,73,665.28
PINS,30,75,95.07
QLYS,30,75,246.67
SHOP,33,67,155.05
SRPT,35,75,931.29
TEAM,34,75,313.69
WEN,33,75,346.76
ZS,33,74,164.51
