Stock,RSI Entry,RSI Exit,ROI %
AAPL,40,60,518.70
ADP,40,60,341.98
ADSK,40,60,721.54
ASML,40,58,87.68
AT1.L,38,54,25.75
DHR,40,60,424.70
JGGI.L,38,58,430.80
JNJ,40,60,446.73
LOW,40,60,574.90
MAIN,40,60,227.79
MCD,40,60,383.53
MPWR,40,60,464.38
MSFT,40,60,381.05
NKE,40,60,385.80
O,40,58,138.74
PEP,38,60,240.06
PGR,40,60,691.99
TMO,40,60,385.69
USDV.L,38,56,55.67
